,stock_ticker,industry
0,SUNW,
1,ORCL,信息技术
2,MSFT,信息技术
3,SDS,
4,TW,金融
5,OV,
6,AYE,
7,TROW,金融
8,HON,工业
9,EMC,
10,TECD,信息技术
11,FO,
12,TKLC,
13,LLTC,信息技术
14,CY,信息技术
15,GENZ,日常消费
16,IMDC,
17,ADPT,医疗保健
18,TCB,
19,T,电信服务
20,JMED,
21,ADM,日常消费
22,THI,可选消费
23,SVRN,
24,ADLA,
25,DME,
26,ARC,工业
27,IFMX,
28,HRC,医疗保健
29,FISV,
30,CF,材料
31,BS,
32,SGI,信息技术
33,BC,可选消费
34,UIS,信息技术
35,PHBK,
36,WBST,
37,MKL,金融
38,CMVT,
39,BFO,
40,WCOM,
41,DELL,信息技术
42,MEC,工业
43,KO,日常消费
44,CG,金融
45,DMIC,
46,UBSI,金融
47,FHCC,
48,SKS,公用事业
49,CDN,
50,FILE,
51,CELG,医疗保健
52,APW,
53,XRAY,医疗保健
54,DCN,
55,FAST,工业
56,RRRR,
57,DTE,公用事业
58,ALEX,房地产
59,DD,材料
60,CBM,医疗保健
61,EK,
62,DS,
63,ETN,工业
64,SIVB,
65,XOM,能源
66,MGG,
67,MXIM,信息技术
68,WMI,
69,APCC,金融
70,BMCS,
71,BGEN,
72,CMCS,
73,DY,工业
74,GMT,
75,GD,工业
76,GE,工业
77,NVLS,
78,OLDB,
79,PBCT,金融
80,PDE,能源
81,GM,可选消费
82,GR,工业
83,VISX,
84,HM,
85,IR,工业
86,IBM,信息技术
87,NAV,工业
88,MKG,
89,IIN,信息技术
90,KSU,工业
91,KM,
92,AM,能源
93,MAY,
94,MYG,
95,AMSY,
96,OLN,材料
97,PCG,公用事业
98,PGL,
99,PEP,日常消费
100,MO,日常消费
101,P,信息技术
102,AMGN,医疗保健
103,S,信息技术
104,ANDW,
105,CHV,
106,AAPL,信息技术
107,SUN,能源
108,AMAT,信息技术
109,TX,材料
110,TKR,工业
111,TR,日常消费
112,UCL,信息技术
113,MRO,能源
114,UST,
115,VMC,材料
116,ASBC,
117,CBS,
118,Z,信息技术
119,WWY,
120,ATG,
121,TAN,
122,TXN,信息技术
123,UK,房地产
124,AHP,
125,EIX,公用事业
126,UWR,
127,G,信息技术
128,GT,可选消费
129,BOH,金融
130,HSY,日常消费
131,KR,日常消费
132,BRR,
133,CVS,日常消费
134,GIS,日常消费
135,MHP,
136,CCK,材料
137,KMB,日常消费
138,PD,信息技术
139,UTX,
140,BGG,
141,HPC,
142,BMET,医疗保健
143,PG,日常消费
144,MTC,金融
145,JCP,
146,SO,公用事业
147,CAT,工业
148,PZB,
149,TRW,可选消费
150,CL,日常消费
151,RLM,医疗保健
152,FMC,材料
153,DE,工业
154,BMY,医疗保健
155,WAG,
156,BA,工业
157,UAL,工业
158,ACK,
159,VVI,工业
160,MTZ,工业
161,BBRC,
162,MEA,
163,SNV,金融
164,CCB,金融
165,ACXM,
166,HI,可选消费
167,CCBL,
168,CR,工业
169,BDK,
170,ABT,医疗保健
171,DOW,材料
172,UB,
173,ADAP,医疗保健
174,GTE,
175,AMR,能源
176,LMT,工业
177,W,可选消费
178,NEM,材料
179,WGL,公用事业
180,CDD,
181,FMO,
182,IPL,
183,CAH,医疗保健
184,CHA,电信服务
185,IP,材料
186,PE,能源
187,REI,
